date,value
2020-8-15,4
2020-8-15,5
2020-8-15,5
2020-8-15,6
2020-8-15,5
2020-8-14,4
2020-8-12,5
2020-8-12,4
2020-8-11,5
2020-8-9,9
2020-8-9,6
2020-8-9,22
2020-8-9,4
2020-8-9,4
2020-8-8,5
2020-8-8,6
2020-8-8,5
2020-8-8,6
2020-8-8,4
2020-8-6,4
2020-8-5,4
2020-8-4,4
2020-8-4,4
2020-8-4,5
2020-8-4,4
2020-8-4,6
2020-8-3,4
2020-8-2,4
2020-8-2,5
2020-8-1,5
2020-8-1,5
2020-8-1,5
2020-8-1,4
2020-7-31,4
2020-7-30,5
2020-7-30,5
2020-7-29,4
2020-7-29,5
2020-7-29,5
2020-7-28,4
2020-7-28,4
2020-7-27,4
2020-7-27,5
2020-7-26,4
2020-7-26,4
2020-7-26,4
2020-7-26,4
2020-7-26,4
2020-7-25,6
2020-7-25,4
2020-7-25,4
2020-7-25,5
2020-7-25,4
2020-7-25,7
2020-7-24,4
2020-7-23,4
2020-7-23,4
2020-7-23,6
2020-7-22,4
2020-7-21,15
2020-7-20,5
2020-7-20,5
2020-7-19,4
2020-7-19,13
2020-7-19,8
2020-7-19,5
2020-7-19,9
2020-7-19,4
2020-7-18,5
2020-7-17,4
2020-7-17,4
2020-7-16,5
2020-7-15,4
2020-7-15,6
2020-7-14,5
2020-7-14,8
2020-7-13,6
2020-7-13,4
2020-7-13,6
2020-7-12,8
2020-7-12,4
2020-7-12,5
2020-7-12,4
2020-7-12,4
2020-7-12,5
2020-7-12,6
2020-7-11,6
2020-7-11,5
2020-7-7,5
2020-7-7,7
2020-7-6,6
2020-7-5,4
2020-7-5,4
2020-7-5,5
2020-7-5,10
2020-7-5,4
2020-7-5,15
2020-7-5,5
2020-7-5,4
2020-7-5,4
2020-7-5,4
2020-7-5,6
2020-7-5,4
2020-7-5,6
2020-7-5,4
2020-7-5,6
2020-7-4,5
2020-7-4,4
2020-7-4,5
2020-7-4,5
2020-7-4,4
2020-7-4,8
2020-7-4,4
2020-7-4,4
2020-7-3,4
2020-7-3,4
2020-7-2,5
2020-7-2,4
2020-7-2,5
2020-7-1,4
2020-7-1,4
2020-6-30,5
2020-6-30,5
2020-6-30,4
2020-6-30,4
2020-6-30,4
2020-6-30,4
2020-6-29,4
2020-6-29,4
2020-6-28,4
2020-6-28,7
2020-6-27,4
2020-6-27,7
2020-6-27,4
2020-6-27,4
2020-6-27,4
2020-6-26,5
2020-6-26,4
2020-6-26,4
2020-6-25,4
2020-6-25,4
2020-6-24,4
2020-6-23,4
2020-6-23,5
2020-6-22,9
2020-6-22,5
2020-6-22,5
2020-6-22,4
2020-6-22,4
2020-6-22,5
2020-6-22,4
2020-6-22,5
2020-6-21,4
2020-6-21,5
2020-6-21,11
2020-6-21,4
2020-6-21,4
2020-6-21,5
2020-6-21,4
2020-6-20,4
2020-6-20,9
2020-6-20,4
2020-6-20,4
2020-6-20,5
2020-6-20,4
2020-6-20,5
2020-6-20,5
2020-6-20,4
2020-6-18,7
2020-6-17,4
2020-6-16,4
2020-6-15,4
2020-6-14,7
2020-6-14,5
2020-6-14,5
2020-6-14,4
2020-6-14,4
2020-6-13,4
2020-6-13,5
2020-6-13,6
2020-6-13,8
2020-6-13,5
2020-6-13,7
2020-6-13,7
2020-6-12,6
2020-6-12,4
2020-6-12,8
2020-6-11,4
2020-6-11,7
2020-6-11,6
2020-6-11,6
2020-6-10,5
2020-6-10,4
2020-6-10,6
2020-6-9,5
2020-6-9,7
2020-6-9,5
2020-6-8,4
2020-6-8,4
2020-6-7,5
2020-6-7,4
2020-6-7,9
2020-6-7,5
2020-6-7,4
2020-6-7,6
2020-6-6,5
2020-6-6,5
2020-6-6,5
2020-6-6,4
2020-6-5,4
2020-6-4,7
2020-6-2,4
2020-6-2,5
2020-6-2,4
2020-6-1,4
2020-5-31,6
2020-5-31,4
2020-5-30,4
2020-5-30,4
2020-5-30,5
2020-5-30,6
2020-5-30,6
2020-5-29,5
2020-5-28,7
2020-5-28,4
2020-5-28,4
2020-5-27,5
2020-5-27,4
2020-5-27,5
2020-5-27,4
2020-5-26,4
2020-5-26,4
2020-5-26,4
2020-5-26,5
2020-5-26,8
2020-5-25,6
2020-5-24,4
2020-5-24,4
2020-5-24,4
2020-5-23,4
2020-5-23,5
2020-5-23,7
2020-5-23,6
2020-5-23,4
2020-5-23,5
2020-5-23,6
2020-5-23,4
2020-5-23,5
2020-5-22,4
2020-5-20,5
2020-5-19,5
2020-5-18,5
2020-5-17,4
2020-5-17,4
2020-5-17,5
2020-5-16,13
2020-5-15,5
2020-5-15,4
2020-5-14,5
2020-5-13,5
2020-5-13,5
2020-5-13,4
2020-5-11,4
2020-5-10,5
2020-5-10,5
2020-5-10,6
2020-5-9,4
2020-5-7,4
2020-5-6,4
2020-5-6,4
2020-5-6,4
2020-5-3,4
2020-5-3,4
2020-5-3,5
2020-5-2,4
2020-4-29,4
2020-4-27,5
2020-4-26,4
2020-4-26,5
2020-4-25,5
2020-4-25,7
2020-4-24,4
2020-4-24,4
2020-4-18,4
2020-4-17,4
2020-4-17,5
2020-4-16,4
2020-4-15,4
2020-4-11,6
2020-4-10,4
2020-4-8,4
2020-4-8,4
